title,rating,wokeRating,wokeComment
Game of Thrones,10,4,
House Of The Dragon,9.4,3,"They made the Blond Haired Purple Eyed Velaryon household black, completely against all logic, and source material, also lots of super wahman and moaning about inequality, doesn't kills it but really takes the shine off an otherwise great show, how has GRRM not got the Capital to insist they keep this nonsense out his shows"
The Sopranos,9.35,5,
The Shield,9.31,5,
Homeland,9.3,5,"Despite the strong female lead that would instantly ruin a show in 2023 this actually makes the shows star Carrie a real person with, massive geunine flaws and a unique heros journey, one of the last great female characters on the small screen"
Peaky Blinders,9.3,5,
1923,9.3,5,
The Three Body Problem,9.3,5,"can't wait, set in China so hard to shoehorn diverse lesbien midgets in although im sure they will try"
Black Mirror,9.3,4,
The Wire,9.28,5,
24,9.28,4,"The early seasons are great but 7,8 and the Black Jack Remake are all badly affected by wokeness"
Breaking Bad,9.27,5,
Gangs of London,9.25,4,
Gomorra,9.24,5,
Succession,9.23,4,The Characters acknowledge and make fun of the wokeness which rescues it from a worse rating by being self aware even though it is quite woke sometimes and has mary sue female characters
Suburra,9.22,5,The prominent homosexuality would normally ruin a show but this is one of the last tastefully handled genuine gay related storylines
The Last Kingdom,9.22,3,Early seasons are fine but the final season and movie lost the plot adding black people to 9th centuary England and going over the top with the female characters abilities and humbling the leading males etc
Rome,9.2,5,
Narcos,9.2,5,
Narcos Mexico,9.2,4,"Female Characters a bit ridiculous, they never ran any cartels IRL but its not too distracting"
Westworld,9.2,4,
Deadwood,9.18,5,"Original show is great, the movie 10 years later is quite bad for wokeness"
Black Mirror,9.18,5,Bits here and there but can be taken as the Dystopia we are headed for so its fine
Oz,9.18,5,
Better Call Saul,9.18,5,
Ozark,9.17,4,
The Expanse,9.17,3,"Long Leesh as dystopian future but final seasons were pretty woke and they heinously meToo'd one of the stars for the final season because of unfounded allegations, DISGUSTING"
Mad Men,9.16,5,
The Offer,9.15,5,
Mr Mercedes,9.15,4,
Squid Game,9.15,5,
Six Feet Under,9.14,5,
Your Honor,9.14,5,
Taboo,9.12,5,
Occupied,9.11,5,
Spooks,9.1,5,
Boardwalk Empire,9.1,5,
Mindhunter,9.1,4,season 2 was particularly tedious playing up the racial inequalities to farcial unrealistic levels
Handmaids Tale,9.1,4,"Just a 4 nearly a 3 lots of nonsense but it all mostly fits and works and I would say is a great adaptation of a great book and the recently released sequel the Testaments, If they made this starting today 19/20 times it would be garbage this is definately the 1, you still need to give them some rope to explore the characters but it's worth it"
True Detective,9.1,4,
Tokyo Vice,9.1,5,
Young Sheldon,9.1,4,
Yellowstone,9.1,4,
The Righteous Gemstones,9.1,4,
Dexter,9.08,5,
Damages,9.08,5,
Scam 1992: The Harshad Mehta Story,9.08,5,
Godfather of Harlem,9.08,4,
SAS Rogue Heros,9.08,4,
Silicon Valley,9.07,5,
Inventing Anna,9.07,4,
Mayans M.C,9.07,3,"Quite a bit of nonsense, need to  jump through some mental hoops to justify what the women characters can do and all this non exisitent racism they imagine"
Billions,9.07,3,frequent woke stuff but very easy to ignore and really enjoy
To The Lake,9.06,5,
Band Of Brothers,9.06,5,
The English,9.06,4,"Pleasantly surprised avoids most of the woke nonsense, Emily Blunt plays the only believable real female Character created on TV this year"
Vikings,9.06,2,Early Seasons are great but it goes from ignorable mary sue characters early seasons to nonsenscial superwoman ruining the show by the end
The West Wing,9.05,5,
Sons of Anarchy,9.05,5,Amazingly given some of the storyline that would be bud light commercials today this is genuine and woke free
The Man in the High Castle,9.05,5,Really delivers great believable characters in a way that would almost certainly be destroyed by wokeness today
Startup,9.05,5,"I can't believe i'm saying this but they actually managed to portray a geeky female hackergirl well and believably, a real achievment in these woke times"
The Night Of,9.05,4,Some of the nonsense you would expect but overall good
Rebellion,9.05,4,Massively overstated mary sue female characters but over all good
Bosch,9.05,3,A good show overall but especially later seasons require increasing amounts of mental gymnastics to ignore the wokeness
City On A Hill,9.05,3,"Constantly imagines non exsistent structural racism everywhere but other than that the characters are mostly allowed to breathe and deliver a good show, Kevin Bacons Jackie Rohr character is a masterpiece approaching a house or dexter level"
Mythic Quest,9.05,3,"Lots of in your face nonsense, you need a high tolerance for nonsense to enjoy this"
The Boys,9.05,4,"Some nonsense creeps in but mostly harmless, can't believe Amazon made this"
The Terminal List,9.05,4,"Mostly survived which is a big achievement being made by Amazon but Jack Carr the author insisted on being onsite for every day of filming and casting, rescueing this from the Amazon garbage pile, they still made his blonde southern Wife Chinese, like a navy seal would be married to a foreign agent, Some nonsense added but mostly the core of the excellent books survive into the show"
Dogs of Berlin,9.03,5,"Fucking A, handles all the delicate topics fantastically and believably, no way this could be made today and it actually flew too close to the sun not getting renewed because this single season was so good and accurate on characters and the social issues covered"
Manhattan,9.03,4,Mostly good apart from the Mary Sue genius female characters
Hell on Wheels,9.03,4,Some racism and female character nonsense but overall easy to enjoy this great show
Devils,9.03,4,
Guilt,9.02,5,
Mad Dogs(US),9.02,5,
Counterpart,9.02,4,
The Patient,9.02,4,Mostly fine
The Queens Gambit,9.02,3,"They made Bobby Fischer a wee dirty red head mary sue, lots of nonsense and attributing reality that this is an extreme end of the bell curve area dominated by men because reality to woke factors.  So lots of mental gymnastics but if you can turn your brain off this is enjoyable to watch"
See,9.02,3,"High levels of woke nonsense, somewhat mitigated by the fantasy setting, theres a good show here but you need to turn your thinking brain all the way off to enjoy"
Dopesick,9.02,2,"Theres still a good show to watch here but its over the top ludicrous boxing ticking in your face bigot from the start to the end, Mostly with the 5'1 baddass coal mining lesbien in a mixed race relationship, if you edited out that whole character you wouldn't lose a thing and the show would be a 3 pushing 4 on the woke rating"
The Office,9.01,5,
The Americans,9,5,
Boss,9,5,
Still Game,9,5,
The Spy,9,5,
Utopia (UK),9,5,
The Thick of it,9,5,
1883,9,5,
Afterlife,9,5,
Black Bird,9,5,
The Dropout,9,5,"It's like inception, because its set in silicon valley they couldn't get this wrong, 5 out 5 kinda by default"
Shantaram,9,5,
Stonehouse,9,5,
White House Plumbers,9,5,
Banshee,9,4,
Chernobyl,9,4,"They invent a female mary sue scientist and attribute all the work and herosim of a bunch of men to her, some nonsense like that but overall pretty good"
Derry Girls,9,4,Some nonsense if you look for it but easy enough to enjoy and the context makes it nearly fine
Jury Duty,9,4,usual stuff but overall easy to enjoy
Raised By Wolves,9,4,Set in space so I can give it more rope but pretty high on the ridiculous diversity
The Newsroom,9,3,"It's a 3 not a 4 just for that fucking womans voice, lots of virtue signalling, climate hoax woke nonsense, decent show but skip if you have a low threshold for woke nonsense"
American Crime Story: OJ,9,3,
Hijack,9,3,"It's got all the woke stuff but also just Bad/lazy writing and directing, best enjoyed with brain set to lobotomised"
Full Circle,9,3,Heavy on super female characters and every male character being a bumbling idiot only there to let the women drive the story
Avenue 5,9,3,
Severance,9,4,
The White Lotus,9,4,
Mayor Of Kingstown,9,4,
Sharpe,9,5,
Parks and Rec,9,5,
Masters of the Air,9,4,
Tehran,9,5,
Fargo,9,5,
Stranger Things,9,4,"All the usual stuff shoehorned in but i have a real softspot for the retro setting and still really enjoy this show, especially season 4 where it goes to a whole new level of great show despite significant wokeness"
Kin,9,4,"Mary Sue female characters respected and running operations in dublin underworld, shoehorned diversity etc, usual stuff but overall great show and easy enough to dismiss"
The Old Man,9,4,
Slow Horses,9,3,
For All Mankind,9,3,
Silo,9,3,"The fantasy setting and ambiguous setting/location give them a lot of rope but my god do they use it, They change one of the main supporting Characters from a white man to a diverse Lesbien and the Main character's love interest is ridiculously race swapped.To an absolute impossibilty given the story, they also mary sue it to fuck and make strong female characters from the book super woman and umb down all the male characters etc  The books are excellent but the show goes very far down the woke route and badly hurt my enjoyment of the show with their changes and mid writing"
Bosch: Legacy,9,3,
Reacher,9,2,"They ruined reacher, utterly ridiculous female characters like 1 tiny accountant wahman hand to hand combat killing 5 bikers then fixing her hair and makeup like it's nothing, extensive wokeness compounded byawful writing and filming.  Breaks my heart but its impossible to watch this seriously and not like a superhero movie unless you have been lobotomised"
The Bear,8.96,4,
True Blood,8.95,4,
Money Heist(Dubbed),8.92,3,"Lots of woke nonsense, its a dumb turn your brain off and enjoy show anyway but the ridiculous inane faggotry andsuper female characters can break even that low bar of emmersion at points"
Prison break,8.9,5,
Battlestar Galactica,8.9,5,Dreading the rumoured remake of this as it will defo be garbage but this original handles things like intergender boxing and girls in top gun schoolthat would destroy it today well
The Pacific,8.9,5,
El Chapo,8.9,5,
The Haunting of Hill House,8.9,4,
The Following,8.9,4,
Spartacus,8.9,4,
Hunters,8.9,3,"All the usual stuff and extra victimhood out the wazoo, lowers the rating for me but wouldn't suggest you skip unless you have watched everything above this on the list"
Luther,8.9,3,"The TV show is ok Skip the movie though it is a braindead 1, apparently the London Murder police are all Diverse Waman of colour, Hear Them Roar, completely ruins it unwatchable"
Black Sails,8.9,3,"It's got strong woke elements only compounded by the semi frequent bad writing,  Theres an enjoyable show here but its not Plain Sailing to get too, haha, get it"
House of Cards ( up to s5),8.9,3,"This show ended with season 5, DO NOT under any circumastances watch S6 it is utter garbage after they MeToo'd a main character off the show on completely false allegations, so enjoy the first 5 seasons of this and burn the negatives of the 6th"
Murphy's Law,8.89,4,"More dumb writing, low budget, poor production quality makes it really show its age"
House,8.89,4,
Turn: Washingtons Spies,8.85,5,
Klondike,8.85,4,
Bloodlines,8.85,4,
Murder One,8.8,5,
Big Love,8.8,5,
Waco,8.8,5,
Terminator: The Sarah Connor Chronicles,8.8,4,
Mare of Easttown,8.8,4,
The Silent Sea,8.8,4,
The Defeated,8.8,4,
The Gold,8.8,4,
Das Boot,8.8,3,Shoehorned in diversity and Lesbiens ruins this otherwise good show
Bad Sisters,8.8,3,
The Lincoln Lawyer,8.8,3,
Lost,8.7,5,
Lilyhammer,8.7,5,
Kingdom,8.7,5,
Medici,8.7,4,
Quiz,8.7,4,
Brave New World,8.7,3,
Absentia,8.7,3,
Sacred Games,8.7,5,
Snowpiercer,8.7,3,"Barely a 3, they start with replacing the main character from the movie with a black guy then take every opportunity to add nonsense, If Jennifer Connelly wouldn't still get it i'd say the wokeness is too much to forgive and still enjoy this show"
